Heading,List Text,Bold Items,List Links
Neolithic and Late Mesolithic[edit],8400 BC: Oldest known water well in Cyprus . [79],['8400 BC:'],"['/wiki/Well', '/wiki/Cyprus', '#cite_note-autogenerated2-80']"
Neolithic and Late Mesolithic[edit],"8000 BC – 7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük , Turkey. [80]",['8000 BC – 7500 BC:'],"['/wiki/Proto-city', '/wiki/Tell_es-Sultan', '/wiki/%C3%87atalh%C3%B6y%C3%BCk', '#cite_note-81']"
Neolithic and Late Mesolithic[edit],"7000 BC: Alcohol fermentation – specifically mead , in China [81]",['7000 BC:'],"['/wiki/Ethanol_fermentation#Alcoholic_beverages', '/wiki/Mead', '#cite_note-82']"
Neolithic and Late Mesolithic[edit],"7000 BC: Sled dog and Dog sled , in Siberia. [82]",['7000 BC:'],"['/wiki/Sled_dog', '/wiki/Dog_sled', '#cite_note-83']"
Neolithic and Late Mesolithic[edit],"7000 BC: Tanned leather in Mehrgarh , Pakistan.",['7000 BC:'],"['/wiki/Tanning_(leather)', '/wiki/Mehrgarh']"
Neolithic and Late Mesolithic[edit],"6500 BC: Evidence of lead smelting in Çatalhöyük , Turkey [83]",['6500 BC:'],"['/wiki/Lead_smelting', '/wiki/%C3%87atalh%C3%B6y%C3%BCk', '/wiki/Turkey', '#cite_note-84']"
Neolithic and Late Mesolithic[edit],6000 BC: Kiln in Mesopotamia (Iraq) [84],['6000 BC:'],"['/wiki/Kiln', '/wiki/Mesopotamia', '#cite_note-Bienkowski-85']"
Neolithic and Late Mesolithic[edit],"6th millennium BC: Irrigation in Khuzistan , Iran [85] [86]",['6th millennium BC:'],"['/wiki/Irrigation', '/wiki/Khuzestan_Province', '/wiki/Iran', '#cite_note-86', '#cite_note-87']"
Neolithic and Late Mesolithic[edit],"6000 BC - 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan. [87]",['6000 BC - 3200 BC:'],"['/wiki/Proto-writing', '#cite_note-88']"
Neolithic and Late Mesolithic[edit],"5500 BC: Sailing - pottery depictions of sail boats, in Mesopotamia , [88] and later ancient Egypt [89] [90]",['5500 BC:'],"['/wiki/Sailing', '/wiki/Mesopotamia', '#cite_note-89', '/wiki/Ancient_Egypt', '#cite_note-90', '#cite_note-johnstone-91']"
Neolithic and Late Mesolithic[edit],5000 BC: Copper smelting in Serbia [91],['5000 BC:'],"['/wiki/Smelting#Copper_and_bronze', '/wiki/Serbia', '#cite_note-92']"
Neolithic and Late Mesolithic[edit],5000 BC: Seawall in Tel Hreiz . [92],['5000 BC:'],"['/wiki/Seawall', '/w/index.php?title=Tel_Hreiz&action=edit&redlink=1', '#cite_note-93']"
Neolithic and Late Mesolithic[edit],5th millennium BC: Lacquer in China [93] [94],['5th millennium BC:'],"['/wiki/Lacquer', '#cite_note-94', '#cite_note-95']"
Neolithic and Late Mesolithic[edit],"5000 BC: Cotton thread, in Mehrgarh , Pakistan, connecting the copper beads of a bracelet. [95] [96] [97]",['5000 BC:'],"['/wiki/Cotton', '/wiki/Mehrgarh', '#cite_note-Mithen2006-96', '#cite_note-97', '#cite_note-JIAPAN2018-98']"
Neolithic and Late Mesolithic[edit],5000 BC – 4500 BC: Rowing oars in China [98] [99],['5000 BC – 4500 BC:'],"['/wiki/Oar', '#cite_note-99', '#cite_note-Stark-100']"
Neolithic and Late Mesolithic[edit],"4650 BC: Copper-tin bronze found at the Pločnik ( Serbia ) site, and belonging to the Vinča culture , believed to be produced from smelting a natural tin baring copper ore, Stannite . [100]",['4650 BC:'],"['/wiki/Plo%C4%8Dnik_(archaeological_site)', '/wiki/Serbia', '/wiki/Vin%C4%8Da_culture', '/wiki/Stannite', '#cite_note-101']"
Neolithic and Late Mesolithic[edit],4500 BC – 3500 BC: Lost-wax casting in Israel [101] or the Indus Valley [102],['4500 BC – 3500 BC:'],"['/wiki/Lost-wax_casting', '/wiki/Israel', '#cite_note-Muhly-102', '/wiki/Indus_Valley', '#cite_note-103']"
Neolithic and Late Mesolithic[edit],4400 BC: Fired bricks in China. [103],['4400 BC:'],"['/wiki/Brick#Fired_brick', '#cite_note-104']"
Neolithic and Late Mesolithic[edit],"4000 BC: Probable time period of the first diamond-mines in the world, in Southern India. [104]",['4000 BC:'],['#cite_note-hershey-105']
Neolithic and Late Mesolithic[edit],"4000 BC: Paved roads, in and around the Mesopotamian city of Ur , Iraq. [105]",['4000 BC:'],"['/wiki/Ur', '#cite_note-106']"
Neolithic and Late Mesolithic[edit],"4000 BC: Plumbing . The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia. [106] [nb 2]",['4000 BC:'],"['/wiki/Plumbing', '#cite_note-107', '#cite_note-110']"
Neolithic and Late Mesolithic[edit],"4000 BC – 3500 BC: Wheel : potter's wheels in Mesopotamia and wheeled vehicles in Mesopotamia (Sumerian civilization), the Northern Caucasus ( Maykop culture ) and Central Europe ( Cucuteni–Trypillia culture ). [109] [110] [111]",['4000 BC – 3500 BC:'],"['/wiki/Wheel', '/wiki/Potter%27s_wheel', '/wiki/Mesopotamia', '/wiki/Caucasus', '/wiki/Maykop_culture', '/wiki/Central_Europe', '/wiki/Cucuteni%E2%80%93Trypillia_culture', '#cite_note-111', '#cite_note-112', '#cite_note-113']"
Neolithic and Late Mesolithic[edit],3630 BC: Silk garments ( sericulture ) in China [112],['3630 BC:'],"['/wiki/Sericulture', '#cite_note-Schoeser-114']"
Neolithic and Late Mesolithic[edit],3500 BC: Probable first domestication of the horse in the Eurasian Steppes. [113] [114] [115],['3500 BC:'],"['/wiki/Domestication_of_the_horse', '#cite_note-115', '#cite_note-116', '#cite_note-cbc.ca-117']"
Neolithic and Late Mesolithic[edit],3500 BC: Wine as general anesthesia in Sumer. [116],['3500 BC:'],"['/wiki/General_anesthesia', '#cite_note-Powell1996-118']"
Neolithic and Late Mesolithic[edit],"3500 BC: Seal (emblem) invented around in the Near East , at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier. [117]",['3500 BC:'],"['/wiki/Seal_(emblem)', '/wiki/Near_East', '/wiki/Uruk', '/wiki/Mesopotamia', '/wiki/Susa', '/wiki/Iran', '/wiki/Proto-Elamite', '/wiki/Stamp_seal', '/wiki/Halaf_culture', '#cite_note-119']"
Neolithic and Late Mesolithic[edit],"3500 BC: Ploughing , on a site in Bubeneč , Czech Republic. [118] Evidence, c. 2800 BC, has also been found at Kalibangan , Indus Valley (modern-day India). [119]",['3500 BC:'],"['/wiki/Ploughing', '/wiki/Bubene%C4%8D', '#cite_note-120', '/wiki/Kalibangan', '#cite_note-lal-ivc-121']"
Neolithic and Late Mesolithic[edit],3400 BC - 3100 BC: Tattoos in southern Europe [120] [121],['3400 BC - 3100 BC:'],"['/wiki/Tattoo', '#cite_note-122', '#cite_note-123']"
Bronze Age[edit],Late 4th millennium BC: Writing – in Sumer and Egypt . [122] [123] [124] [125],['Late 4th millennium BC:'],"['/wiki/Writing', '/wiki/Sumer', '/wiki/Egypt', '#cite_note-Radner-124', '#cite_note-125', '#cite_note-126', '#cite_note-127']"
Bronze Age[edit],"3300 BC: The first documented swords . They have been found in Arslantepe , Turkey, are made from arsenical bronze , and are about 60 cm (24 in) long. [126] [127] Some of them are inlaid with silver . [127]",['3300 BC:'],"['/wiki/Swords', '/wiki/Arslantepe', '/wiki/Arsenical_bronze', '#cite_note-128', '#cite_note-KAY-129', '/wiki/Silver', '#cite_note-KAY-129']"
Bronze Age[edit],"3300 BC: City in Uruk , Sumer , Mesopotamia (modern-day Iraq). [128]",['3300 BC:'],"['/wiki/City', '/wiki/Uruk', '/wiki/Sumer', '/wiki/Mesopotamia', '#cite_note-130']"
Bronze Age[edit],"3250 BC: One of the earliest known confirmed hats was worn by a man (nicknamed Ötzi ) whose body (including his hat) was found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, essentially resembling a Russian fur hat without the flaps. [129] [130] [131]",['3250 BC:'],"['/wiki/Hat', '/wiki/%C3%96tzi', '#cite_note-131', '#cite_note-132', '#cite_note-133']"
Bronze Age[edit],"3200 BC: Dry Latrines in the city of Uruk , Iraq, with later dry squat Toilets , that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains. [132] [133] [134]",['3200 BC:'],"['/wiki/Latrine', '/wiki/Uruk', '/wiki/Toilet', '#cite_note-134', '#cite_note-135', '#cite_note-136']"
Bronze Age[edit],"3000 BC: Devices functionally equivalent to dice , in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet . [135] Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon -like game set at the Burnt City , an archeological site in south-eastern Iran , estimated to be from between 2800 and 2500 BC. [136] [137] Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan). [138]",['3000 BC:'],"['/wiki/Dice', '/wiki/Senet', '#cite_note-Aruz-137', '/wiki/Backgammon', '/wiki/Burnt_City', '/wiki/Iran', '#cite_note-138', '#cite_note-139', '/wiki/Mohenjo-daro', '#cite_note-140']"
Bronze Age[edit],3000 BC: Tin extraction in Central Asia [139],['3000 BC:'],"['/wiki/Tin', '/wiki/Central_Asia', '#cite_note-141']"
Bronze Age[edit],3000 BC - 2560 BC: Papyrus in Egypt [140] [141] [142] [143],['3000 BC - 2560 BC:'],"['/wiki/Papyrus', '#cite_note-Fischer-142', '#cite_note-143', '#cite_note-Johnson-144', '#cite_note-:1-145']"
Bronze Age[edit],"3000 BC: Reservoir in Girnar , Indus Valley ( modern-day India ). [144]",['3000 BC:'],"['/wiki/Reservoir', '/wiki/Girnar', '/wiki/India', '#cite_note-Rodda-146']"
Bronze Age[edit],3000 BC: Receipt in Ancient Mesopotamia ( Iraq ) [145],['3000 BC:'],"['/wiki/Receipt', '/wiki/Mesopotamia', '/wiki/Iraq', '#cite_note-147']"
Bronze Age[edit],"3000 BC - 2800 BC: Prosthesis first documented in the Ancient Near East , in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold. [146]",['3000 BC - 2800 BC:'],"['/wiki/Prosthesis', '/wiki/Ancient_Near_East', '#cite_note-148']"
Bronze Age[edit],3000 BC - 2500 BC: Rhinoplasty in Egypt. [147] [148],['3000 BC - 2500 BC:'],"['/wiki/Rhinoplasty', '#cite_note-cossurg-149', '#cite_note-plsurgery-150']"
Bronze Age[edit],"2650 BC: The Ruler , or Measuring rod , in the subdivided Nippur , copper rod, of the Sumerian Civilisation (modern-day Iraq). [nb 3]",['2650 BC:'],"['/wiki/Ruler', '/wiki/Measuring_rod', '/wiki/Nippur', '/wiki/Sumer', '#cite_note-152']"
Bronze Age[edit],"2600 BC: Planned city in Indus Valley (modern-day: India, Pakistan). [150] [151]",['2600 BC:'],"['/wiki/Planned_city', '#cite_note-Davreu1-153', '#cite_note-Kipfer229-154']"
Bronze Age[edit],"2600 BC: Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan). [152]",['2600 BC:'],"['/wiki/Sanitation_of_the_Indus_Valley_Civilisation', '/wiki/Mohenjo-daro', '/wiki/Rakhigarhi', '#cite_note-155']"
Bronze Age[edit],"2600 BC: Public bath in Mohenjo-daro , Indus Valley (modern-day Pakistan ). [153]",['2600 BC:'],"['/wiki/Great_Bath,_Mohenjo-daro', '/wiki/Mohenjo-daro', '/wiki/Pakistan', '#cite_note-Kenoyer-156']"
Bronze Age[edit],2600 BC: Levee in Indus Valley. [154],['2600 BC:'],"['/wiki/Levee', '#cite_note-157']"
Bronze Age[edit],"2600 BC: Balance weights and scales , from the Fourth Dynasty of Egypt ; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed. [155]",['2600 BC:'],"['/wiki/Weighing_scale', '/wiki/Fourth_Dynasty_of_Egypt', '/wiki/Deben_(unit)', '/wiki/Sneferu', '#cite_note-158']"
Bronze Age[edit],"2556 BC: Docks structure in Wadi al-Jarf , Egypt, which was developed by the reign of the Pharaoh Khufu . [156] [143] [nb 4]",['2556 BC:'],"['/wiki/Dock_(maritime)', '/wiki/Wadi_al-Jarf', '/wiki/Khufu', '#cite_note-Global-159', '#cite_note-:1-145', '#cite_note-166']"
Bronze Age[edit],2500 BC: Puppetry in the Indus Valley. [163] [164],['2500 BC:'],"['/wiki/Puppetry', '#cite_note-167', '#cite_note-168']"
Bronze Age[edit],2400 BC: Fork in Bronze Age Qijia culture in China [165],['2400 BC:'],"['/wiki/Fork', '/wiki/Bronze_Age', '/wiki/Qijia_culture', '/wiki/China', '#cite_note-169']"
Bronze Age[edit],"2400 BC: Copper pipes , the Pyramid of Sahure , an adjoining temple complex at Abusir , was discovered to have a network of copper drainage pipes. [108]",['2400 BC:'],"['/wiki/History_of_water_supply_and_sanitation#Ancient_Egypt', '/wiki/Pyramid_of_Sahure#Drainage_system', '/wiki/Abusir', '#cite_note-Bunson_6-109']"
Bronze Age[edit],2400 BC: Touchstone in the Indus Valley site of Banawali (modern-day India). [166],['2400 BC:'],"['/wiki/Touchstone_(assaying_tool)', '/wiki/Banawali', '#cite_note-170']"
Bronze Age[edit],2300 BC: Dictionary in Mesopotamia . [167],['2300 BC:'],"['/wiki/Dictionary', '/wiki/Mesopotamia', '#cite_note-171']"
Bronze Age[edit],"2200 BC: Protractor , Phase IV, Lothal , Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool. [168] [169]",['2200 BC:'],"['/wiki/Protractor', '/wiki/Lothal', '/wiki/Turbinella_pyrum', '#cite_note-Rao401-172', '#cite_note-173']"
Bronze Age[edit],"2000 BC: Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC), [170] but possibly earlier from Mohenjo-Daro in the Indus Valley. [171]",['2000 BC:'],"['/wiki/Water_clock', '#cite_note-174', '#cite_note-175']"
Bronze Age[edit],2000 BC: Chariot in Russia and Kazakhstan [172],['2000 BC:'],"['/wiki/Chariot', '/wiki/Russia', '/wiki/Kazakhstan', '#cite_note-176']"
Bronze Age[edit],"2000 BC: Fountain in Lagash , Sumer",['2000 BC:'],"['/wiki/Fountain', '/wiki/Lagash', '/wiki/Sumer']"
Bronze Age[edit],"2000 BC: Scissors , in Mesopotamia . [173]",['2000 BC:'],"['/wiki/Scissors', '/wiki/Mesopotamia', '#cite_note-177']"
Bronze Age[edit],1850 BC: Proto-alphabet ( Proto-Sinaitic script ) in Egypt. [174],['1850 BC:'],"['/wiki/Proto-Sinaitic_script', '#cite_note-178']"
Bronze Age[edit],1600 BC: Surgical treatise appeared in Egypt. [175],['1600 BC:'],"['/wiki/Edwin_Smith_Papyrus', '#cite_note-WilkinsRobert-179']"
Bronze Age[edit],1500 BC: Sundial in Ancient Egypt [176] or Babylonia (modern-day Iraq).,['1500 BC:'],"['/wiki/Sundial', '/wiki/Ancient_Egypt', '#cite_note-180', '/wiki/Babylonia']"
Bronze Age[edit],1500 BC: Glass manufacture in either Mesopotamia or Ancient Egypt [177],['1500 BC:'],"['/wiki/Glass', '/wiki/Mesopotamia', '/wiki/Ancient_Egypt', '#cite_note-181']"
Bronze Age[edit],1500 BC: Seed drill in Babylonia [178],['1500 BC:'],"['/wiki/Seed_drill', '/wiki/Babylonia', '#cite_note-ReferenceA-182']"
Bronze Age[edit],"1400 BC: Rubber , Mesoamerican ballgame . [179] [180]",['1400 BC:'],"['/wiki/Mesoamerican_rubber_balls', '/wiki/Mesoamerican_ballgame', '#cite_note-183', '#cite_note-184']"
Bronze Age[edit],"1400 BC - 1200 BC: Concrete in Tiryns (Mycenaean Greece). [181] [182] Waterproof concrete was later developed by the Assyrians in 688 BC, [183] and the Romans developed concretes that could set underwater. [184] The Romans later used concrete extensively for construction from 300 BC to 476 AD. [185]",['1400 BC - 1200 BC:'],"['/wiki/Concrete', '/wiki/Tiryns', '#cite_note-185', '#cite_note-186', '#cite_note-187', '#cite_note-Lechtman_and_Hobbs-188', '#cite_note-MAST-189']"
Bronze Age[edit],1300 BC: Lathe in Ancient Egypt [186],['1300 BC:'],"['/wiki/Lathe', '#cite_note-190']"
Iron Age[edit],1300 BC: Iron smelting in the Hittite Empire of the Middle East . [187] [188],['1300 BC:'],"['/wiki/Iron_smelting', '/wiki/Hittite_Empire', '/wiki/Middle_East', '#cite_note-UCP-192', '#cite_note-193']"
Iron Age[edit],1200 BC: Distillation is described on Akkadian tablets documenting perfumery operations. [189],['1200 BC:'],"['/wiki/Distillation', '/wiki/Akkadian_language', '#cite_note-194']"
Iron Age[edit],700 BC: Saddle (fringed cloths or pads used by Assyrian cavalry ) [190],['700 BC:'],"['/wiki/Saddle', '/wiki/Assyrian_cavalry', '#cite_note-Beatie18-195']"
Iron Age[edit],"7th century BC: The royal Library of Ashurbanipal at Nineveh had 30,000 clay tablets, in several languages, organized according to shape and separated by content. The first recorded example of a library catalog . [191]",['7th century BC:'],"['/wiki/Library_of_Ashurbanipal', '/wiki/Nineveh', '/wiki/Library_catalog', '#cite_note-196']"
Iron Age[edit],650 BC: Crossbow in China . [192],['650 BC:'],"['/wiki/Crossbow', '/wiki/China', '#cite_note-197']"
Iron Age[edit],650 BC: Windmills in Persia,['650 BC:'],['/wiki/Persia']
Iron Age[edit],600 BC: Coins in Phoenicia (Modern Lebanon) or Lydia [193],['600 BC:'],"['/wiki/Coins', '/wiki/Phoenicia', '/wiki/Lydia', '#cite_note-198']"
